Address,City,Venue_Name,Latitude,Longitude,Miles_Away,Type,Category_ID
2 Valley View Farm Rd,Haverhill,Berry Fire Protection,42.754329,-71.04000500000001,0.9,Fire Station,4bf58dd8d48988d12c941735
2 Valley View Farm Rd,Haverhill,Renaissance Golf Club,42.77922263772293,-71.03900694941903,2.0,Golf Course,4bf58dd8d48988d1e6941735
2 Valley View Farm Rd,Haverhill,Bradford Station,42.766967622009346,-71.08827122772094,1.8,Train,4bf58dd8d48988d129951735
2 Valley View Farm Rd,Haverhill,,,,,,4bf58dd8d48988d163941735
241 Andover St,Andover,AFC Urgent Care North Andover,42.675540924072266,-71.13066101074219,3.5,Emergency Room,4bf58dd8d48988d194941735
241 Andover St,Andover,,,,,,4bf58dd8d48988d12c941735
241 Andover St,Andover,,,,,,4bf58dd8d48988d12e941735
241 Andover St,Andover,Market Basket Perishable DC,42.6062333171459,-71.16182377032159,1.5,Grocery Store,4bf58dd8d48988d118951735
241 Andover St,Andover,Ballardvale Train Station,42.6276059634327,-71.1600040883113,0.3,Train Station,4bf58dd8d48988d129951735
241 Andover St,Andover,Recreation Park,42.63224642402583,-71.14764536280768,0.4,Park,4bf58dd8d48988d163941735
241 Andover St,Andover,Indian Ridge Country Club,42.64166900081071,-71.17002027053158,1.3,Golf Course,4bf58dd8d48988d1e6941735
30 Willow Rd,Marblehead,NSMC Salem Hospital,42.51124622143515,-70.90663659210071,1.8,Emergency Room,4bf58dd8d48988d194941735
30 Willow Rd,Marblehead,,,,,,4bf58dd8d48988d163941735
30 Willow Rd,Marblehead,Salem Fire Headquarters,42.51965926183748,-70.89368642770788,1.5,Fire Station,4bf58dd8d48988d12c941735
30 Willow Rd,Marblehead,Crosby's Market Marblehead,42.504302407442296,-70.84941026438841,1.2,Grocery Store,4bf58dd8d48988d118951735
30 Willow Rd,Marblehead,Tedesco Country Club Marblehead,42.485367447957316,-70.89423797105376,1.7,Golf Course,4bf58dd8d48988d1e6941735
30 Willow Rd,Marblehead,MBTA Salem Station,42.524241992545164,-70.89597702026367,1.9,Train Station,4bf58dd8d48988d129951735
30 Willow Rd,Marblehead,Marblehead Police Dept,42.49655587917531,-70.85948938762408,0.8,Police Station,4bf58dd8d48988d12e941735
31 Apple Blossom Ln,Lynn,Trader Joe's,42.483820531225696,-71.01821614213671,1.8,Grocery Store,4bf58dd8d48988d118951735
31 Apple Blossom Ln,Lynn,,,,,,4bf58dd8d48988d129951735
31 Apple Blossom Ln,Lynn,Gannon Country Club,42.49012504629789,-70.97480198632432,1.2,Golf Course,4bf58dd8d48988d1e6941735
31 Apple Blossom Ln,Lynn,,,,,,4bf58dd8d48988d163941735
31 Apple Blossom Ln,Lynn,Union Hospital Emergency Room,42.501324,-70.979885,0.6,Emergency Room,4bf58dd8d48988d194941735
31 Apple Blossom Ln,Lynn,Lynnfield Fire,42.515010833740234,-71.01183319091797,1.4,Fire Station,4bf58dd8d48988d12c941735
31 Apple Blossom Ln,Lynn,,,,,,4bf58dd8d48988d12e941735
31 Country Club Way,Ipswich,Action Linebrook,42.684461,-70.919625,0.9,Emergency Room,4bf58dd8d48988d194941735
31 Country Club Way,Ipswich,,,,,,4bf58dd8d48988d163941735
31 Country Club Way,Ipswich,Ipswich Country Club,42.69465934974526,-70.89781971291814,0.6,Golf Course,4bf58dd8d48988d1e6941735
31 Country Club Way,Ipswich,Rowley police station,42.70672607421875,-70.91615295410156,0.9,Police Station,4bf58dd8d48988d12e941735
31 Country Club Way,Ipswich,,,,,,4bf58dd8d48988d129951735
31 Country Club Way,Ipswich,Market Basket,42.708056889982615,-70.90606720686979,1.0,Grocery Store,4bf58dd8d48988d118951735
31 Country Club Way,Ipswich,Ipswich Fire Department,42.684563,-70.919613,0.9,Fire Station,4bf58dd8d48988d12c941735
31 Follinsbee Ln,West Newbury,Merrimack Valley Gynecology,42.76529497478418,-71.04550241285732,3.0,Hospital,4bf58dd8d48988d194941735
